Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
ACS,Advanced Stellar Compass 2 (Boom),GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
ACTINOMETER,Radiation Thermocouple Actinometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
ADA,Atmospheric Density Accelerometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic/Motion Sensors,Accelerometers,,,,,,,,,,,,,,
ADCP,Acoustic Doppler Current Profiler,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,Acoustic Sounders,,,,,,,,,,,,,,
ADG,Acoustic Depth Gauge,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
ADMIRARI,ADvanced MIcrowave RAdiometer for Rain Identification,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
ADRAD,Texas Aggie Doppler Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
ADS,Automated DNA Sequencer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
Advanced DCS,Advanced Data Collection System,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Data collection,Data collection system,"Collects data on temperature (air/water), atmospheric pressure, humidity and wind speed/direction, speed and direction of ocean and river currents.",,TBD,,,,,Constrained Access,
Advanced GGAK-M,Advanced Module for Geophysical Measurements (SEM),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSHYDROMET (ROSKOSMOS),Proposed,Space environment and magnetic field,Space environment monitor,Space Environmental Monitoring (SEM).,,,,,,,Constrained Access,
