Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
GNOS,GNSS Occultation Sounder,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"CAST (NSMC-CMA, CNSA)",Approved,Atmospheric temperature and humidity sounders,GNSS radio-occultation receiver,Atmospheric sounding for weather forecasting.,,,,,,,Constrained Access,
GNSS RECEIVER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
GNSS-RO RECEIVER,Global Navigation Satellite System Radio Occultation (CLARREO),GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
GO-FLO BOTTLES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Bottles/Flasks/Jars,,,,,,,,,,,,,,
GOCI,Geostationary Ocean Colour Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"KARI (ASTRIUM, KORDI)",Operational,Ocean colour instruments,Multi-purpose imaging Vis/IR radiometer,"Ocean colour information, coastal zone monitoring, land resources monitoring.",VIS - NIR: 0.40 - 0.88 µm (8 channels),"VIS, NIR",236 x 500 m,236,1440 km,,Open Access,"HDF, LRIT, HRIT"
GOES Comms,Communications package on GOES,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Communications,,,,MW,,,,,,
GOES I-M IMAGER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
GOES I-M SOUNDER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
GOES N-P IMAGER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
GOES N-P SOUNDER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
GOES-11 Imager,Geostationary Operational Environmental Satellite 11-Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
GOES-12 Imager,Geostationary Operational Environmental Satellite 12-Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
GOES-13 Imager,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
GOES-15 Imager,Geostationary Operational Environmental Satellite 15-Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
GOES-8 IMAGER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
GOLF,Global Oscillations at Low Frequencies,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
GOLPE,GPS Occultation and Passive reflection Experiment,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA (CONAE),Operational,Atmospheric temperature and humidity sounders and precision orbit,GNSS radio-occultation receiver,"Measurements of atmospheric effects on GPS signals, and precise positioning information to assist gravitational measurements.",,N/A,,,,,Open Access,
GOME,Global Ozone Monitoring Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
GOME-2,Global Ozone Monitoring Experiment - 2,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (ESA),Operational,Atmospheric chemistry,High-resolution nadir-scanning SW spectrometer,"Measurement of total column amounts and stratospheric and tropospheric profiles of ozone. Also amounts of H20, NO2, OClO, BrO, SO2 and HCHO.",UV - NIR: 0.24 - 0.79 µm (resolution 0.2 - 0.4 nm),"UV, VIS, NIR",Horizontal: 40 x 40 km (960 km swath) to 40 x 5 km (for polarization monitoring),,120 - 960 km,"Cloud top height: 1 km (rms), Outgoing short wave radiation and solar irradiance: 5 W/m2, Trace gas profile: 10 - 20%, Specific humidity profile: 10 - 50 g/kg",Open Access,Native
GOME-2,Global Ozone Monitoring Experiment-2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
GOMOS,Global Ozone Monitoring by Occultation of Stars,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
GONG INSTRUMENT,Global Oscillation Network Group Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
GONG NETWORK,Global Oscillation Network Group Network,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
GOX,Global Positioning Satellite Occultation Experiment (GOX),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"NASA, NSPO (JPL)",Operational,Atmospheric temperature and humidity sounders,GNSS radio-occultation receiver,"Each instrument equipped with 4 GPS antennas to receive the L1 and L2 radio wave signals transmitted from the 24 US GPS satellites. Based on the signal transmission delay caused by the electric density, temperature, pressure, and water content in the ionosphere and atmosphere, information about ionosphere and atmosphere can be derived.",L1/L2,MW,Vertical: 0.3 - 1.5 m; Horizontal: 300 - 600 km,,,,Open Access,
GPR,Ground Penetrating Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
GPS,Global Positioning System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
GPS CLOCKS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
GPS Receiver (Swarm),GPSR (Swarm),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ESA,Being developed,Precision orbit,GNSS receiver,,,MW,L1 C/A code range error better than 0.5 m RMS; L1/L2 P-code range error better than 0.25 m RMS; L1 carrier phase error better than 5 mm,,,,,
GPS RECEIVERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
GPS SONDE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,Radio Sounders,,,,,,,,,,,,,
GPS/IMU,Global Positioning System/Inertial Measurement Unit,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
GPSP,Global Positioning System Payload,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Precision orbit,GNSS receiver,Precision orbit determination.,,N/A,,,,,Open Access,
GPSP,Global Positioning System Payload,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
GPSRO (Oersted),GPS Radio Occultation System,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Atmospheric temperature and humidity sounders,GNSS radio-occultation receiver,"Measurements of atmospheric temperature, pressure and water vapour content.",,N/A,,,,,Open Access,
GPSRO (Terra-SAR),GPS Radio Occultation System,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Operational,Atmospheric temperature and humidity sounders,GNSS radio-occultation receiver,"Measurements of atmospheric temperature, pressure and water vapour content.",,N/A,,,,,Open Access,
GRAB SAMPLERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Grabbers/Traps/Collectors,,,,,,,,,,,,,,
GRACE ACC,GRACE SuperSTAR Accelerometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Magnetic/Motion Sensors,Accelerometers,,,,,,,,,,,,,
GRACE instrument,GRACE instrument,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA (DLR),Operational,Gravity instruments,Satellite-to-satellite ranging system,Includes BlackJack Global Positioning System (Turbo Rogue Space Receiver) and High Accuracy Inter-satellite Ranging System (aka K-band Ranging System) for Inter-satellite ranging system estimates for global models of the mean and time variable Earth gravity field.,Microwave: 24 GHz and 32 GHz,MW,"400 km horizontal, N/A vertical",,N/A,1 cm equivilant water,Open Access,"GeoTIFF, ASCII and netCDF"
GRACE INTERFEROMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Interferometers,,,,,,,,,,,,,
GRACE LRR,Laser Retro-Reflector,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Laser Ranging,,,,,,,,,,,,,
GRACE SCA,Star Camera Assembly,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
GRANULOMETRIC SIEVES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,,,,,,,,,,,,,,,
GRAS,Global navigation satellite system Receiver for Atmospheric Sounding,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,GPS,,,,,,,,,,,,,
GRAS,GNSS Receiver for Atmospheric Sounding,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,EUMETSAT (ESA),Operational,Atmospheric temperature and humidity sounders and precision orbit,GNSS radio-occultation receiver,GNSS receiver for atmospheric temperature and humidity profile sounding.,,MW,"Vertical: 150 m (troposphere) and 1.5 km (stratosphere), Horizontal: 100 km approx (troposphere), 300 km approx (stratosphere)",,Altitude range of 5 - 30 km,Temperature sounding to 1 K rms,Open Access,
GRAVIMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic/Motion Sensors,Gravimeters,,,,,,,,,,,,,,
GRAVITY CORER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Corers,,,,,,,,,,,,,,,
GRB,Solar X-Ray/Cosmic Gamma-Ray Burst Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
GREEN CORONAGRAPH,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
GRILLE,Grille Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
GROUND WATER LEVEL GAUGES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
GSD,Germanium Semiconductor Detector,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
GTR,Gunther and Tegetmeyer Recorder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
GUST PROBES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Current/Wind Meters,,,,,,,,,,,,,,,
GUVI,Global Ultraviolet Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
GWLG,GROUND WATER LEVEL GAUGES,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
GYROS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
HAIRS,High Accuracy Inter-satellite Ranging System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Radio,,,,,,,,,,,,,
HALOE,Halogen Occultation Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Interferometers,,,,,,,,,,,,,
HAMI,Hydrocarbon Automatic Measuring Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
HAMSR,High Altitude MMIC Sounding Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
HAMSTRAD,H2O ANTARCTICA MICROWAVE STRATOSPHERIC AND TROPOSPHERIC RADIOMETER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
HARD X-RAY MONITOR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
HATDL,HOBO XT Air Temperature Logger,GCMD Instruments - Revision: 2014-08-28 16:20:21,Recorders/Loggers,,,,,,,,,,,,,,,
HCMR,Heat Capacity Mapping Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
HDWL (3D Winds),HDWL (3D Winds),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Proposed,Lidars,Doppler lidar,Tropospheric winds for weather forecasting and pollution transport.,2.051 µm and 0.355 µm,"UV, SWIR",300 km along track horizontal resolution,,"View 45 degrees of nadir at four azimuth angles: 45, 135, 225, 315 deg.",2-3 m/s LOS wind accuracy projected into horizontal from all effects including sampling error,Open Access,
HELIOGRAPHS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
HENA,High-Energy Neutral Atom Imager (IMAGE),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
HEP,High Energy Particles (Geotail),GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
HEPAD,High Energy Proton and Alpha Detector,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
HESSI IMAGER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
HESSI SPECTROMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
HFOVR,Hemispherical Field of View Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
HI-SCALE,"Heliosphere Instrument for Spectra, Composition, and Anisotropy and Low Energies",GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
HiCARS,High Capability Radar  Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
Himawari Comms,Communications package for Himawari,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,JMA,Being developed,Communications,Communications system,,,K-Band,,,,,Very Constrained Access,
Himawari DCS,Data Collection System for Himawari,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,JMA,Being developed,Data collection,Data collection system,,,K-Band,,,,,Constrained Access,
HIRAD,Hurricane Imaging Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
HIRDLS,High-Resolution Dynamics Limb Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
HiRI,High-Resolution Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,High resolution optical imagers,High resolution optical imager,"Cartography, land use, risk, agriculture and forestry, civil planning and mapping, digital terrain models, defence.","4 bands + PAN: Near IR (0.77 - 0.91 µm), Red (0.61 - 0.71 µm), Green (0.50 - 0.60 µm), Blue (0.44 - 0.54 µm), Pan (0.47 - 0.84 µm)","VIS, NIR",0.70 m,0.7,20 km swath at nadir. Agile platform giving ±50 deg off-track,,,
HIRS,High Resolution Infrared Radiation Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
HIRS/2,High Resolution Infrared Radiation Sounder/2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
HIRS/3,High Resolution Infra-red Sounder/3,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Atmospheric temperature and humidity sounders,Narrow-band channel IR radiometer,"Atmospheric temperature profiles and data on cloud parameters, humidity soundings, water vapour, total ozone content, and surface temperatures.",VIS - TIR: 0.69 - 14.95 µm (20 channels),"VIS, NIR, SWIR, MWIR, TIR, FIR",20.3 km,,2240 km,,,
HIRS/3,High Resolution Infrared Radiation Sounder/3,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
HIRS/4,High Resolution Infra-red Sounder/4,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA,Operational,Atmospheric temperature and humidity sounders,Narrow-band channel IR radiometer,"Atmospheric temperature profiles and data on cloud parameters, humidity soundings, water vapour, total ozone content, and surface temperatures. Same as HIRS/3, with 10 km IFOV.",VIS - TIR: 0.69 - 14.95 µm (20 channels),"VIS, NIR, SWIR, MWIR, TIR",20.3 km,,2240 km,,,
HIRS/4,High Resolution Infrared Radiation Sounder/4,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
HIS,High Resolution Interferometer Sounder,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,Interferometers,,,,,,,,,,,,,
HISUI,Hyperspectral Imager Suite,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,METI,Being developed,Hyperspectral imagers and high resolution optical imagers,High resolution optical imager,"Global energy and resource related applications - Exploration of oil, gas, and metal resources - Environmental assessments of oil/gas fields and mines. Other applications such as environmental monitoring, agriculture, and forestry.","Hyperspectral Sensor:VNIR 57 bands (in 0.4 - 0.97 µm), SWIR 128 bands (in 0.9 - 2.5 µm), Multispectral Sensor: 4 bands (in 0.45 - 0.89 µm)","VIS, NIR, SWIR","Hyperspectral Sensor:30 m, Multispectral Sensor: 5 m",5,"Hyperspectral Sensor:30 km, Multispectral Sensor: 90 km","Hyperspectral Sensor:SN = 450 @620 nm, 300 @2100 nm Multispectral Sensor: SN= 200",,
HIWRAP,High-Altitude Imaging Wind and Rain Airborne Profiler,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
HMI-SDO,Helioseismic and Magnetic Imager on Solar Dynamics Observatory,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
HPGE,Hyperpure Germanium,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
HPLC,High-Performance Liquid Chromatograph,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
HRC,High Resolution Camera,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
HRCCD,High Resolution CCD Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
HRDI,High Resolution Doppler Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
HRG,HRG,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,High resolution optical imagers,High resolution optical imager,High resolution multispectral mapper. 2 HRG instruments on this mission can be processed to produce simulated imagery of 2.5 m. Images are 60 x 60 km in size.,"VIS: B1: 0.50 - 0.59 µm, B2: 0.61 - 0.68 µm, NIR: B3: 0.79 - 0.89 µm, SWIR: 1.50 - 1.75 µm, Panchromatic: 0.49 - 0.69 µm","VIS, NIR, SWIR","Panchromatic: 5 m, Multispectral: 10 m",5,"60 km (1 instrument), 117 km (2 instruments). Same as SPOT 4 with off-track steering capability (±27 deg)",,,
HRG-1,High Resolution Geometrical Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
HRG-2,High Resolution Geometrical Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
HRIR,High-Resolution Infrared Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
HRIR NIMBUS-1,High-Resolution Infrared Radiometer on NIMBUS-1,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
HRIR NIMBUS-2,High-Resolution Infrared Radiometer on NIMBUS-2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
HRIR NIMBUS-3,High-Resolution Infrared Radiometer on NIMBUS-3,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
HRMX,High Resolution Multi Spectral,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Imaging multi-spectral radiometers (vis/IR),High resolution optical imager,"For crops and vegetation dynamics, natural resources census, disaster management and large scale mapping of themes.",4 bands MX in VIS and NIR,"VIS, NIR",0.65 m / 2 m,0.65,10 km,,Constrained Access,
HRMX-TIR,High Resolution TIR,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Imaging multi-spectral radiometers (vis/IR),,,MX (3 Bands TIR),TIR,1.5 km,1500,,,,
HRMX-VNIR,High Resolution MX-VNIR,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ISRO,Proposed,Imaging multi-spectral radiometers (vis/IR),High resolution optical imager,,MX (4 Bands VNIR),"VIS, NIR",50 m,50,,,,
HRPC,High Resolution Panchromatic Camera,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
HRR,High Resolution Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Radiometers,,,,,,,,,,,,,
HRS,High Resolution Stereoscope,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,High resolution optical imagers,High resolution optical imager,High resolution stereo instrument.,Panchromatic: VIS 0.49 - 0.69 µm,VIS,"Panchromatic: 10 m, Altitude: 15 m",10,120 km,,,
HRS,High Resolution Stereoscopic Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
HRTC,High Resolution Technological Camera,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
HRTS,High Resolution Telescope and Spectrograph,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
HRV,High Resolution Visible Imaging System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
HRVIR,High Resolution Visible and Infrared,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
HSB,Humidity Sounder for Brazil,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Profilers/Sounders,,,,,,,,,,,,,,
HSC,High Sensitivity Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CONAE,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"High Sensitivity Camera (HSC) measures top of atmosphere radiance in the VIS spectral range measured by a high sensitivity sensor detects: urban lights, electric storms, polar regions, snow cover, forest fires, sea surveillance.",PAN (VIR-NIR): 450 - 900 nm,"VIS, NIR",200 - 300 m,200,1600 km,,Constrained Access,Geotif
HSC,High Sensitivity Camera,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CONAE,Approved,Imaging multi-spectral radiometers (vis/IR),Medium-resolution spectro-radiometer,"High Sensitivity Camera (HSC) measures top of atmosphere radiance in the VIS spectral range measured by a high sensitivity sensor detects: urban lights, electric storms, polar regions, snow cover, forest fires, sea surveillance.",PAN (VIR-NIR): 450 - 900 nm,"VIS, NIR",200 - 300 m,200,1600 km,,,
HSI,Hyperspectral Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,DLR,Approved,Hyperspectral imagers and imaging multi-spectral radiometers (vis/ir),High resolution optical imager,"Detailed monitoring and characterization of rock and soil targets, vegetation, inland and coastal waters on a global scale.",420 - 2450 nm,"VIS, NIR, SWIR",GSD 30 m,30,30 km,Radiometric: <5%,Open Access,
HSI (HJ-1A),Hyper Spectrum Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CAST,Operational,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,Hyperspectral measurements for environment and disaster management operations.,0.45 - 0.95 µm (128 bands),"VIS, NIR",100 m,100,50 km,,Open Access,
HSRL,High Spectral Resolution Lidar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Spectrometers/Radiometers,Lidar/Laser Spectrometers,,,,,,,,,,,,,
HUMIDITY SENSORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,,,,,,,,,,,,,,,
HUMIDITY TRANSDUCERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,,,,,,,,,,,,,,,
HVAS,High Volume Air Sampler,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,,,,,,,,,,,,,,,
HVPS,High Volume Particle Sampler,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,,,,,,,,,,,,,,,
HXIS,Hard X-ray Imaging Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
HXRBS,Hard X-ray Burst Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
HXT,Hard X-ray Telescope,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
